   Step          Time           Temp          TotEng         KinEng         PotEng         Press         c_msd[4]   
     25000   25             909.10814     -23469.519      11.986168     -23481.505      1593.0222      6.6812126    
     25500   25.5           756.81202     -23471.842      9.9782143     -23481.82      -87.973217      6.5502858    
     26000   26             841.23458     -23468.733      11.091287     -23479.824      6878.5268      6.611624     
     26500   26.5           825.54448     -23471.226      10.88442      -23482.111     -1772.795       6.3301186    
     27000   27             735.75053     -23470.34       9.7005285     -23480.041      10045.862      6.4757615    
     27500   27.5           867.90124     -23470.556      11.442874     -23481.999      4161.5116      6.3946718    
     28000   28             743.41087     -23472.008      9.8015265     -23481.809     -67.09463       6.3480528    
     28500   28.5           768.58644     -23470.967      10.133455     -23481.1        5657.8341      6.3177477    
     29000   29             839.27559     -23469.689      11.065458     -23480.755      6168.8635      6.5487463    
     29500   29.5           811.5811      -23469.569      10.700319     -23480.27       4470.6289      6.5911917    
     30000   30             914.95304     -23468.746      12.06323      -23480.809      644.27793      6.7248305    
     30500   30.5           756.17023     -23471.509      9.9697528     -23481.479      2329.4646      6.8211034    
     31000   31             847.71451     -23471.327      11.176721     -23482.503      153.91223      6.8116403    
     31500   31.5           780.34032     -23470.175      10.288424     -23480.464      6104.9301      6.9990783    
     32000   32             813.2785      -23472.04       10.722699     -23482.762     -3829.922       6.9771774    
     32500   32.5           829.33319     -23469.945      10.934372     -23480.879      6248.6688      6.7843552    
     33000   33             851.94768     -23469.655      11.232534     -23480.887      7375.1776      6.5765803    
     33500   33.5           790.10974     -23471.549      10.417229     -23481.966     -8179.7348      6.8136534    
     34000   34             769.08182     -23469.67       10.139986     -23479.81       7984.0962      7.0434787    
     34500   34.5           790.55364     -23471.421      10.423082     -23481.844      5791.628       7.0606921    
     35000   35             752.96804     -23472.398      9.9275333     -23482.326     -4276.4807      6.8492136    
     35500   35.5           822.07822     -23469.814      10.838719     -23480.653      13441.611      6.9444508    
     36000   36             739.26466     -23469.882      9.7468607     -23479.629      11377.184      7.1446329    
     36500   36.5           729.67225     -23469.521      9.6203891     -23479.142      8724.0026      7.5320341    
     37000   37             810.08456     -23469.171      10.680588     -23479.852      11697.643      7.4223457    
     37500   37.5           725.94425     -23471.281      9.5712372     -23480.853      1242.147       7.6963466    
     38000   38             819.89383     -23465.822      10.809919     -23476.631      22652.043      8.4565426    
     38500   38.5           764.85227     -23471.329      10.084221     -23481.413      351.27607      8.8856905    
     39000   39             674.78468     -23472.837      8.8967221     -23481.734     -6051.9629      9.1076878    
     39500   39.5           814.83258     -23469.708      10.743188     -23480.452      9338.4862      9.4732704    
     40000   40             787.10967     -23470.468      10.377675     -23480.846     -3609.4233      9.2294043    
     40500   40.5           772.56568     -23469.938      10.185919     -23480.123      3886.3581      8.9657925    
     41000   41             773.12156     -23471.157      10.193248     -23481.35      -2067.4136      9.023402     
     41500   41.5           788.20248     -23471.773      10.392083     -23482.165      348.0766       9.3885597    
     42000   42             762.37046     -23471.946      10.0515       -23481.998     -1256.6549      8.5994855    
     42500   42.5           721.35926     -23473.183      9.5107863     -23482.694     -3757.9419      8.8656657    
     43000   43             842.69959     -23469.792      11.110602     -23480.902      4187.1601      8.7348348    
     43500   43.5           864.16719     -23469.054      11.393642     -23480.447      6684.9379      9.2162203    
     44000   44             911.69757     -23469.594      12.020308     -23481.614     -620.22811      9.1882443    
     44500   44.5           815.36069     -23470.073      10.750151     -23480.823      4711.4716      8.746177     
     45000   45             777.7033      -23471.573      10.253656     -23481.826      2679.6639      9.3476069    
     45500   45.5           726.66336     -23470.268      9.5807183     -23479.848      10086.435      9.2179045    
     46000   46             869.31848     -23470.454      11.46156      -23481.915      8566.3724      8.9907583    
     46500   46.5           768.94043     -23470.477      10.138122     -23480.615      6118.7056      9.1489618    
     47000   47             833.90677     -23469.408      10.994673     -23480.403      2265.9105      8.7751671    
     47500   47.5           774.43783     -23468.735      10.210603     -23478.946      8720.9593      9.320474     
     48000   48             750.10536     -23470.896      9.8897902     -23480.786      208.43739      10.144489    
     48500   48.5           924.3643      -23469.298      12.187313     -23481.485      81.788723      9.9757897    
     49000   49             829.50732     -23470.999      10.936668     -23481.935     -1204.5257      9.8239904    
     49500   49.5           838.2146      -23471.207      11.051469     -23482.258     -2462.4064      9.880022     
     50000   50             829.55455     -23472.222      10.937291     -23483.159     -6543.0381      9.5805184    
